Publication Year,Author,Title,ISSN,DOI,"About, in title (W=women, M=men, W&M = women & men, X=not mentioned)","theme (phys ed (or just ed) and recreation, PE; sports; research study, RS; research study (methods), RS (M); other, OTH)","RACE MENT, FATIGUE",NOTES,"Author sex (M, W or F, x = unknown b/c only 1st initial"
1930,W. F. Wenner; E. W. Blanchard,Effect of Intravenous Injection of Alkali on the Action of Curare,0002-9513,10.1152/ajplegacy.1930.91.2.563,,,,,
1930,James P. Quigley; R. D. Templeton,Action of Insulin on the Motility of the Gastrointestinal Tract,0002-9513,10.1152/ajplegacy.1930.91.2.475,,,,,
1930,Roger S. Hubbard,Changes in the Reaction of Urine on Awakening,0002-9513,10.1152/ajplegacy.1930.91.2.618,,,,,
1930,Edmund Jacobson,Electrical Measurements of Neuromuscular States During Mental Activities,0002-9513,10.1152/ajplegacy.1930.91.2.567,,,,,
1930,George B. Ray; Leabelle Isaac,Chemical Studies on the Spleen,0002-9513,10.1152/ajplegacy.1930.91.2.377,,,,,
1930,O. W. Barlow,"The Influence of Beef Muscle, Beef Liver and Liver Extract on the Anemia of Fasting and of Rice Disease in Pigeons",0002-9513,10.1152/ajplegacy.1930.91.2.429,,,,,
1930,Eugene U. Still; Leonard Benjamin Shpiner,Studies on the Physiology of Secretin,0002-9513,10.1152/ajplegacy.1930.91.2.496,,,,,
1930,William C. Buchbinder,The Effects of Strophanthin and of Quinidine on the Rate of Fibrillation of the Tongue Following Hypoglossotomy,0002-9513,10.1152/ajplegacy.1930.91.2.654,,,,,
1930,Arthur R. Colwell,The Use of Constant Glucose Injections for the Study of Induced Variations in Carbohydrate Metabolism,0002-9513,10.1152/ajplegacy.1930.91.2.664,,,,,
1930,Henry Brody; M. S. Shiling,A Note on the Relation of Salivary Secretion to the Oxygen Tension of the Inspired Air,0002-9513,10.1152/ajplegacy.1930.91.2.399,,,,,
1930,Catherine Corbeille,Changes in Volume of the Kidney in Response to Acoustic Stimulation,0002-9513,10.1152/ajplegacy.1930.91.2.507,,,,,
1930,Walter Rose; Charles J. Stucky; George R. Cowgill,Studies in the Physiology of Vitamins,0002-9513,10.1152/ajplegacy.1930.91.2.554,,,,,
1930,Arthur R. Colwell,The Use of Constant Glucose Injections for the Study of Induced Variations in Carbohydrate Metabolism,0002-9513,10.1152/ajplegacy.1930.91.2.679,,,,,
1930,Walter Rose; Charles J. Stucky; George R. Cowgill,Studies in the Physiology of Vitamins,0002-9513,10.1152/ajplegacy.1930.91.2.547,,,,,
1930,Raymond N. Bieter,The Effect of the Splanchnics Upon Glomerular Blood Flow in the Frog's Kidney,0002-9513,10.1152/ajplegacy.1930.91.2.436,,,,,
1930,Ferd A. Ries; Eugene U. Still,On the Toxicity of Purified Bile Preparations,0002-9513,10.1152/ajplegacy.1930.91.2.609,,,,,
1930,Walter Rose; Charles J. Stucky; George R. Cowgill,Studies in the Physiology of Vitamins,0002-9513,10.1152/ajplegacy.1930.91.2.531,,,,,
